Time (s),North (m),East (m),Down (m)
0.0,-5.000000000000004,-8.660254037844384,0.0
0.1,-4.517000000000005,-8.660254037844384,-0.129
0.2,-4.034000000000004,-8.660254037844384,-0.259
0.3,-3.5510000000000046,-8.660254037844384,-0.388
0.4,-3.0680000000000045,-8.660254037844384,-0.518
0.5,-2.5850000000000044,-8.660254037844384,-0.647
0.6,-2.1020000000000043,-8.660254037844384,-0.776
0.7,-1.6190000000000047,-8.660254037844384,-0.906
0.8,-1.1360000000000046,-8.660254037844384,-1.035
0.9,-0.653000000000004,-8.660254037844384,-1.165
1.0,-0.17000000000000437,-8.660254037844384,-1.294
1.1,0.3129999999999953,-8.660254037844384,-1.424
1.2,0.7959999999999958,-8.660254037844384,-1.553
1.3,1.2789999999999955,-8.660254037844384,-1.682
1.4,1.7609999999999957,-8.660254037844384,-1.812
1.5,2.2439999999999953,-8.660254037844384,-1.941
1.6,2.726999999999996,-8.660254037844384,-2.071
1.7,3.2099999999999964,-8.660254037844384,-2.2
1.8,3.692999999999995,-8.660254037844384,-2.329
1.9,4.175999999999996,-8.660254037844384,-2.459
2.0,4.658999999999996,-8.660254037844384,-2.588
2.1,5.141999999999995,-8.660254037844384,-2.718
2.2,5.624999999999996,-8.660254037844384,-2.847
2.3,6.107999999999996,-8.660254037844384,-2.976
2.4,6.590999999999995,-8.660254037844384,-3.106
2.5,7.073999999999995,-8.660254037844384,-3.235
2.6,7.556999999999996,-8.660254037844384,-3.365
2.7,8.039999999999996,-8.660254037844384,-3.494
2.8,8.522999999999996,-8.660254037844384,-3.623
2.9,9.005999999999997,-8.660254037844384,-3.753
3.0,9.488999999999997,-8.660254037844384,-3.882
3.1,9.971999999999994,-8.660254037844384,-4.012
3.2,10.454999999999995,-8.660254037844384,-4.141
3.3,10.937999999999995,-8.660254037844384,-4.271
3.4,11.420999999999996,-8.660254037844384,-4.4
3.5,11.903999999999996,-8.660254037844384,-4.529
3.6,12.386999999999997,-8.660254037844384,-4.659
3.7,12.869999999999997,-8.660254037844384,-4.788
3.8,13.352999999999998,-8.660254037844384,-4.918
3.9,13.835999999999995,-8.660254037844384,-5.047
4.0,14.318999999999996,-8.660254037844384,-5.176
4.1,14.800999999999995,-8.660254037844384,-5.306
4.2,15.283999999999995,-8.660254037844384,-5.435
4.3,15.766999999999996,-8.660254037844384,-5.565
4.4,16.249999999999996,-8.660254037844384,-5.694
4.5,16.732999999999997,-8.660254037844384,-5.823
4.6,17.215999999999998,-8.660254037844384,-5.953
4.7,17.698999999999998,-8.660254037844384,-6.082
4.8,18.181999999999995,-8.660254037844384,-6.212
4.9,18.664999999999996,-8.660254037844384,-6.341
5.0,19.147999999999996,-8.660254037844384,-6.47
5.1,19.630999999999997,-8.660254037844384,-6.6
5.2,20.113999999999997,-8.660254037844384,-6.729
5.3,20.596999999999998,-8.660254037844384,-6.859
5.4,21.079999999999995,-8.660254037844384,-6.988
5.5,21.562999999999995,-8.660254037844384,-7.118
5.6,22.045999999999996,-8.660254037844384,-7.247
5.7,22.528999999999996,-8.660254037844384,-7.376
5.8,23.011999999999997,-8.660254037844384,-7.506
5.9,23.494999999999997,-8.660254037844384,-7.635
6.0,23.977999999999998,-8.660254037844384,-7.765
6.1,24.460999999999995,-8.660254037844384,-7.894
6.2,24.943999999999996,-8.660254037844384,-8.023
6.3,25.426999999999996,-8.660254037844384,-8.153
6.4,25.909999999999997,-8.660254037844384,-8.282
6.5,26.392999999999997,-8.660254037844384,-8.412
6.6,26.875999999999998,-8.660254037844384,-8.541
6.7,27.358999999999998,-8.660254037844384,-8.67
6.8,27.840999999999998,-8.660254037844384,-8.8
6.9,28.323999999999995,-8.660254037844384,-8.929
7.0,28.807,-8.660254037844384,-9.059
7.1,29.289999999999996,-8.660254037844384,-9.188
7.2,29.773,-8.660254037844384,-9.317
7.3,30.255999999999997,-8.660254037844384,-9.447
7.4,30.738999999999994,-8.660254037844384,-9.576
7.5,31.221999999999998,-8.660254037844384,-9.706
7.6,31.704999999999995,-8.660254037844384,-9.835
7.7,32.187999999999995,-8.660254037844384,-9.965
7.8,32.67099999999999,-8.660254037844384,-10.094
7.9,33.153999999999996,-8.660254037844384,-10.223
8.0,33.63699999999999,-8.660254037844384,-10.353
8.1,34.11999999999999,-8.660254037844384,-10.482
8.2,34.602999999999994,-8.660254037844384,-10.612
8.3,35.08599999999999,-8.660254037844384,-10.741
8.4,35.568999999999996,-8.660254037844384,-10.87
8.5,36.05199999999999,-8.660254037844384,-11.0
